DEPO_CODE|SKU|NOP|SYS_DATE|SYSTEM|SYS_DATE1|Y
002|F000000001000500|291|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000001001000|239|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000001004000|88|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000134001000|42|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000160004000|7|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000186000500|216|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000186001000|186|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000186004000|145|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000205000500|496|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000205001000|582|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000205004000|89|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000207000500|246|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000207001000|150|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000207004000|55|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000208000500|440|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000208001000|126|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000209000500|470|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000209001000|702|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000209004000|156|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000211000500|48|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000211004000|7|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000257000500|24|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000257004000|64|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000261004000|12|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000263000500|353|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000263001000|483|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000263004000|92|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000274004000|40|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000300001000|174|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000300004000|24|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000300020000|2|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000304000500|376|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000304001000|456|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000304004000|54|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000306000500|56|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000306004000|28|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000317001000|2|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000356000500|72|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000356001000|282|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000356004000|184|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000360001000|4|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000362000500|39|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000362001000|6|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000362004000|11|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000387000500|48|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000387001000|30|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000387004000|95|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000401000500|112|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000401001000|297|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000416001000|6|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000432000500|11|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000432001000|157|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000432004000|2|31/03/2021|SYSTEM|31/03/2021|Y|
002|F000000435000500|420|31/03/2021|SYSTEM|31/03/2021|Y|
